"league_name","season","team_long_name","avg_team_rating_pro_season","last_season_rating","points_in_season","points_in_last_season"
Belgium Jupiler League,"2008/2009",Beerschot AC,66,,42,
Belgium Jupiler League,"2009/2010",Beerschot AC,66.35,66,35,42
Belgium Jupiler League,"2010/2011",Beerschot AC,65.75,66.35,26,35
Belgium Jupiler League,"2011/2012",Beerschot AC,65.94,65.75,36,26
Belgium Jupiler League,"2012/2013",Beerschot AC,65.87,65.94,23,36
Belgium Jupiler League,"2008/2009",Club Brugge KV,68.72,,59,
Belgium Jupiler League,"2009/2010",Club Brugge KV,68.47,68.72,57,59
Belgium Jupiler League,"2010/2011",Club Brugge KV,69.01,68.47,53,57
Belgium Jupiler League,"2011/2012",Club Brugge KV,69.19,69.01,61,53
Belgium Jupiler League,"2012/2013",Club Brugge KV,70.12,69.19,54,61
Belgium Jupiler League,"2014/2015",Club Brugge KV,70.91,70.12,61,54
Belgium Jupiler League,"2015/2016",Club Brugge KV,71.2,70.91,64,61
Belgium Jupiler League,"2008/2009",FCV Dender EH,63.94,,35,
Belgium Jupiler League,"2008/2009",KAA Gent,68.11,,59,
Belgium Jupiler League,"2009/2010",KAA Gent,67.53,68.11,49,59
Belgium Jupiler League,"2010/2011",KAA Gent,68.24,67.53,57,49
Belgium Jupiler League,"2011/2012",KAA Gent,68.17,68.24,56,57
Belgium Jupiler League,"2012/2013",KAA Gent,68.55,68.17,34,56
Belgium Jupiler League,"2013/2014",KAA Gent,66.92,68.55,10,34
Belgium Jupiler League,"2014/2015",KAA Gent,68.31,66.92,57,10
Belgium Jupiler League,"2015/2016",KAA Gent,70.86,68.31,60,57
Belgium Jupiler League,"2010/2011",KAS Eupen,63.57,,23,
Belgium Jupiler League,"2008/2009",KRC Genk,66.75,,50,
Belgium Jupiler League,"2009/2010",KRC Genk,66.28,66.75,34,50
Belgium Jupiler League,"2010/2011",KRC Genk,67.4,66.28,64,34
Belgium Jupiler League,"2011/2012",KRC Genk,68.75,67.4,46,64
Belgium Jupiler League,"2012/2013",KRC Genk,69,68.75,55,46
Belgium Jupiler League,"2014/2015",KRC Genk,68.74,69,49,55
Belgium Jupiler League,"2015/2016",KRC Genk,69.5,68.74,48,49
Belgium Jupiler League,"2008/2009",KSV Cercle Brugge,65.84,,47,
Belgium Jupiler League,"2009/2010",KSV Cercle Brugge,65.14,65.84,38,47
Belgium Jupiler League,"2010/2011",KSV Cercle Brugge,65.21,65.14,39,38
Belgium Jupiler League,"2011/2012",KSV Cercle Brugge,65.09,65.21,46,39
Belgium Jupiler League,"2012/2013",KSV Cercle Brugge,66.04,65.09,14,46
Belgium Jupiler League,"2014/2015",KSV Cercle Brugge,65.69,66.04,24,14
Belgium Jupiler League,"2008/2009",KSV Roeselare,62.94,,30,
Belgium Jupiler League,"2009/2010",KSV Roeselare,65.71,62.94,18,30
Belgium Jupiler League,"2008/2009",KV Kortrijk,67.37,,38,
Belgium Jupiler League,"2009/2010",KV Kortrijk,64.69,67.37,45,38
Belgium Jupiler League,"2010/2011",KV Kortrijk,65.36,64.69,38,45
Belgium Jupiler League,"2011/2012",KV Kortrijk,65.17,65.36,46,38
Belgium Jupiler League,"2012/2013",KV Kortrijk,66.39,65.17,39,46
Belgium Jupiler League,"2014/2015",KV Kortrijk,67.4,66.39,51,39
Belgium Jupiler League,"2015/2016",KV Kortrijk,67.88,67.4,39,51
Belgium Jupiler League,"2008/2009",KV Mechelen,64.07,,46,
Belgium Jupiler League,"2009/2010",KV Mechelen,64.19,64.07,39,46
Belgium Jupiler League,"2010/2011",KV Mechelen,65.98,64.19,48,39
Belgium Jupiler League,"2011/2012",KV Mechelen,66.54,65.98,37,48
Belgium Jupiler League,"2012/2013",KV Mechelen,66.78,66.54,41,37
Belgium Jupiler League,"2014/2015",KV Mechelen,66.8,66.78,41,41
Belgium Jupiler League,"2015/2016",KV Mechelen,68.19,66.8,37,41
Belgium Jupiler League,"2013/2014",KV Oostende,65.9,,14,
Belgium Jupiler League,"2014/2015",KV Oostende,67.12,65.9,38,14
Belgium Jupiler League,"2015/2016",KV Oostende,68.96,67.12,49,38
Belgium Jupiler League,"2008/2009",KVC Westerlo,64.88,,52,
Belgium Jupiler League,"2009/2010",KVC Westerlo,64.88,64.88,32,52
Belgium Jupiler League,"2010/2011",KVC Westerlo,65.33,64.88,41,32
Belgium Jupiler League,"2011/2012",KVC Westerlo,65.28,65.33,20,41
Belgium Jupiler League,"2014/2015",KVC Westerlo,65.54,65.28,33,20
Belgium Jupiler League,"2015/2016",KVC Westerlo,67.22,65.54,30,33
Belgium Jupiler League,"2010/2011",Lierse SK,65.95,,24,
Belgium Jupiler League,"2011/2012",Lierse SK,65.89,65.95,31,24
Belgium Jupiler League,"2012/2013",Lierse SK,64.48,65.89,26,31
Belgium Jupiler League,"2013/2014",Lierse SK,63.54,64.48,6,26
Belgium Jupiler League,"2014/2015",Lierse SK,65.04,63.54,22,6
Belgium Jupiler League,"2011/2012",Oud-Heverlee Leuven,64.42,,29,
Belgium Jupiler League,"2012/2013",Oud-Heverlee Leuven,65.89,64.42,36,29
Belgium Jupiler League,"2015/2016",Oud-Heverlee Leuven,67.71,65.89,29,36
Belgium Jupiler League,"2011/2012",RAEC Mons,65.25,,36,
Belgium Jupiler League,"2012/2013",RAEC Mons,66,65.25,44,36
Belgium Jupiler League,"2008/2009",RSC Anderlecht,69.57,,77,
Belgium Jupiler League,"2009/2010",RSC Anderlecht,69.87,69.57,69,77
Belgium Jupiler League,"2010/2011",RSC Anderlecht,70.47,69.87,65,69
Belgium Jupiler League,"2011/2012",RSC Anderlecht,71,70.47,67,65
Belgium Jupiler League,"2012/2013",RSC Anderlecht,71.09,71,67,67
Belgium Jupiler League,"2014/2015",RSC Anderlecht,71.02,71.09,57,67
Belgium Jupiler League,"2015/2016",RSC Anderlecht,72.25,71.02,55,57
Belgium Jupiler League,"2008/2009",Royal Excel Mouscron,68.31,,44,
Belgium Jupiler League,"2014/2015",Royal Excel Mouscron,65.77,68.31,26,44
Belgium Jupiler League,"2015/2016",Royal Excel Mouscron,66.94,65.77,30,26
Belgium Jupiler League,"2008/2009",SV Zulte-Waregem,64.05,,55,
Belgium Jupiler League,"2009/2010",SV Zulte-Waregem,64.86,64.05,41,55
Belgium Jupiler League,"2010/2011",SV Zulte-Waregem,65.84,64.86,33,41
Belgium Jupiler League,"2011/2012",SV Zulte-Waregem,66.25,65.84,30,33
Belgium Jupiler League,"2012/2013",SV Zulte-Waregem,67.28,66.25,63,30
Belgium Jupiler League,"2014/2015",SV Zulte-Waregem,66.59,67.28,31,63
Belgium Jupiler League,"2015/2016",SV Zulte-Waregem,67.16,66.59,43,31
Belgium Jupiler League,"2009/2010",Sint-Truidense VV,65.64,,42,
Belgium Jupiler League,"2010/2011",Sint-Truidense VV,64.6,65.64,29,42
Belgium Jupiler League,"2011/2012",Sint-Truidense VV,64.96,64.6,19,29
Belgium Jupiler League,"2015/2016",Sint-Truidense VV,67.12,64.96,30,19
Belgium Jupiler League,"2008/2009",Sporting Charleroi,63.77,,43,
Belgium Jupiler League,"2009/2010",Sporting Charleroi,67.14,63.77,23,43
Belgium Jupiler League,"2010/2011",Sporting Charleroi,64.64,67.14,19,23
Belgium Jupiler League,"2012/2013",Sporting Charleroi,64.66,64.64,34,19
Belgium Jupiler League,"2014/2015",Sporting Charleroi,66.36,64.66,49,34
Belgium Jupiler League,"2015/2016",Sporting Charleroi,68.32,66.36,39,49
Belgium Jupiler League,"2008/2009",Sporting Lokeren,67.88,,51,
Belgium Jupiler League,"2009/2010",Sporting Lokeren,66.02,67.88,18,51
Belgium Jupiler League,"2010/2011",Sporting Lokeren,66.04,66.02,50,18
Belgium Jupiler League,"2011/2012",Sporting Lokeren,67.17,66.04,44,50
Belgium Jupiler League,"2012/2013",Sporting Lokeren,68,67.17,51,44
Belgium Jupiler League,"2014/2015",Sporting Lokeren,69.17,68,42,51
Belgium Jupiler League,"2015/2016",Sporting Lokeren,68.9,69.17,34,42
Belgium Jupiler League,"2008/2009",Standard de Liège,70.38,,77,
Belgium Jupiler League,"2009/2010",Standard de Liège,69.71,70.38,39,77
Belgium Jupiler League,"2010/2011",Standard de Liège,68.77,69.71,49,39
Belgium Jupiler League,"2011/2012",Standard de Liège,68.7,68.77,51,49
Belgium Jupiler League,"2012/2013",Standard de Liège,69.05,68.7,50,51
Belgium Jupiler League,"2014/2015",Standard de Liège,69.98,69.05,53,50
Belgium Jupiler League,"2015/2016",Standard de Liège,69.57,69.98,41,53
Belgium Jupiler League,"2008/2009",Tubize,66.09,,27,
Belgium Jupiler League,"2012/2013",Waasland-Beveren,65.48,,30,
Belgium Jupiler League,"2013/2014",Waasland-Beveren,65.11,65.48,4,30
Belgium Jupiler League,"2014/2015",Waasland-Beveren,66.49,65.11,26,4
Belgium Jupiler League,"2015/2016",Waasland-Beveren,65.94,66.49,33,26
England Premier League,"2008/2009",Arsenal,79.8,,72,
England Premier League,"2009/2010",Arsenal,79.33,79.8,75,72
England Premier League,"2010/2011",Arsenal,79.67,79.33,68,75
England Premier League,"2011/2012",Arsenal,79.34,79.67,70,68
England Premier League,"2012/2013",Arsenal,79.42,79.34,73,70
England Premier League,"2013/2014",Arsenal,79.51,79.42,79,73
England Premier League,"2014/2015",Arsenal,78.22,79.51,75,79
England Premier League,"2015/2016",Arsenal,77.81,78.22,71,75
England Premier League,"2008/2009",Aston Villa,78.82,,62,
England Premier League,"2009/2010",Aston Villa,78.92,78.82,64,62
England Premier League,"2010/2011",Aston Villa,77.67,78.92,48,64
England Premier League,"2011/2012",Aston Villa,75.62,77.67,38,48
England Premier League,"2012/2013",Aston Villa,74.02,75.62,41,38
England Premier League,"2013/2014",Aston Villa,74.13,74.02,38,41
