"league_name","season","team_long_name","avg_team_rating_pro_season","last_season_rating","points_in_season","points_in_last_season"
England Premier League,"2014/2015",Aston Villa,75.12,74.13,38,38
England Premier League,"2015/2016",Aston Villa,74.98,75.12,17,38
England Premier League,"2009/2010",Birmingham City,75.66,,50,
England Premier League,"2010/2011",Birmingham City,76.39,75.66,39,50
England Premier League,"2008/2009",Blackburn Rovers,75.67,,41,
England Premier League,"2009/2010",Blackburn Rovers,74.64,75.67,50,41
England Premier League,"2010/2011",Blackburn Rovers,75.61,74.64,43,50
England Premier League,"2011/2012",Blackburn Rovers,74.02,75.61,31,43
England Premier League,"2010/2011",Blackpool,72.58,,39,
England Premier League,"2008/2009",Bolton Wanderers,74.77,,41,
England Premier League,"2009/2010",Bolton Wanderers,75.21,74.77,39,41
England Premier League,"2010/2011",Bolton Wanderers,76.11,75.21,46,39
England Premier League,"2011/2012",Bolton Wanderers,74.38,76.11,36,46
England Premier League,"2015/2016",Bournemouth,72.17,,42,
England Premier League,"2009/2010",Burnley,72.75,,30,
England Premier League,"2014/2015",Burnley,71.81,72.75,33,30
England Premier League,"2013/2014",Cardiff City,73.6,,30,
England Premier League,"2008/2009",Chelsea,81.63,,83,
England Premier League,"2009/2010",Chelsea,81.87,81.63,86,83
England Premier League,"2010/2011",Chelsea,81.52,81.87,71,86
England Premier League,"2011/2012",Chelsea,80.27,81.52,64,71
England Premier League,"2012/2013",Chelsea,80.18,80.27,75,64
England Premier League,"2013/2014",Chelsea,80.4,80.18,82,75
England Premier League,"2014/2015",Chelsea,80.9,80.4,87,82
England Premier League,"2015/2016",Chelsea,80.44,80.9,50,87
England Premier League,"2013/2014",Crystal Palace,73,,45,
England Premier League,"2014/2015",Crystal Palace,74.21,73,48,45
England Premier League,"2015/2016",Crystal Palace,75.65,74.21,42,48
England Premier League,"2008/2009",Everton,78.02,,63,
England Premier League,"2009/2010",Everton,77.97,78.02,61,63
England Premier League,"2010/2011",Everton,77.68,77.97,54,61
England Premier League,"2011/2012",Everton,77.08,77.68,56,54
England Premier League,"2012/2013",Everton,77.35,77.08,63,56
England Premier League,"2013/2014",Everton,77.13,77.35,72,63
England Premier League,"2014/2015",Everton,77.53,77.13,47,72
England Premier League,"2015/2016",Everton,77.1,77.53,47,47
England Premier League,"2008/2009",Fulham,75.71,,53,
England Premier League,"2009/2010",Fulham,76.11,75.71,46,53
England Premier League,"2010/2011",Fulham,76.76,76.11,49,46
England Premier League,"2011/2012",Fulham,76.84,76.76,52,49
England Premier League,"2012/2013",Fulham,76.39,76.84,43,52
England Premier League,"2013/2014",Fulham,75.69,76.39,32,43
England Premier League,"2008/2009",Hull City,72.19,,35,
England Premier League,"2009/2010",Hull City,72.77,72.19,30,35
England Premier League,"2013/2014",Hull City,73.26,72.77,37,30
England Premier League,"2014/2015",Hull City,73.63,73.26,35,37
England Premier League,"2014/2015",Leicester City,72.34,,41,
England Premier League,"2015/2016",Leicester City,75.18,72.34,81,41
England Premier League,"2008/2009",Liverpool,80.35,,86,
England Premier League,"2009/2010",Liverpool,80.26,80.35,63,86
England Premier League,"2010/2011",Liverpool,79.12,80.26,58,63
England Premier League,"2011/2012",Liverpool,78.36,79.12,52,58
England Premier League,"2012/2013",Liverpool,78.39,78.36,61,52
England Premier League,"2013/2014",Liverpool,78.68,78.39,84,61
England Premier League,"2014/2015",Liverpool,78.22,78.68,62,84
England Premier League,"2015/2016",Liverpool,77.39,78.22,60,62
England Premier League,"2008/2009",Manchester City,77.77,,50,
England Premier League,"2009/2010",Manchester City,79.86,77.77,67,50
England Premier League,"2010/2011",Manchester City,80.3,79.86,71,67
England Premier League,"2011/2012",Manchester City,80.92,80.3,89,71
England Premier League,"2012/2013",Manchester City,80.96,80.92,78,89
England Premier League,"2013/2014",Manchester City,81.2,80.96,86,78
England Premier League,"2014/2015",Manchester City,80.86,81.2,79,86
England Premier League,"2015/2016",Manchester City,80.51,80.86,66,79
England Premier League,"2008/2009",Manchester United,81.5,,90,
England Premier League,"2009/2010",Manchester United,80.48,81.5,85,90
England Premier League,"2010/2011",Manchester United,80.78,80.48,80,85
England Premier League,"2011/2012",Manchester United,79.62,80.78,89,80
England Premier League,"2012/2013",Manchester United,80.42,79.62,89,89
England Premier League,"2013/2014",Manchester United,79.45,80.42,64,89
England Premier League,"2014/2015",Manchester United,79.59,79.45,70,64
England Premier League,"2015/2016",Manchester United,78.71,79.59,66,70
England Premier League,"2008/2009",Middlesbrough,74.23,,32,
England Premier League,"2008/2009",Newcastle United,75.31,,34,
England Premier League,"2010/2011",Newcastle United,74.87,75.31,46,34
England Premier League,"2011/2012",Newcastle United,76.51,74.87,65,46
England Premier League,"2012/2013",Newcastle United,76.68,76.51,41,65
England Premier League,"2013/2014",Newcastle United,76.5,76.68,49,41
England Premier League,"2014/2015",Newcastle United,74.41,76.5,39,49
England Premier League,"2015/2016",Newcastle United,75.94,74.41,37,39
England Premier League,"2011/2012",Norwich City,71.4,,47,
England Premier League,"2012/2013",Norwich City,73.58,71.4,44,47
England Premier League,"2013/2014",Norwich City,74.61,73.58,33,44
England Premier League,"2015/2016",Norwich City,73.82,74.61,34,33
England Premier League,"2008/2009",Portsmouth,75.88,,41,
England Premier League,"2009/2010",Portsmouth,73.77,75.88,28,41
England Premier League,"2011/2012",Queens Park Rangers,73.88,,37,
England Premier League,"2012/2013",Queens Park Rangers,75.42,73.88,25,37
England Premier League,"2014/2015",Queens Park Rangers,74.81,75.42,30,25
England Premier League,"2012/2013",Reading,71.99,,28,
England Premier League,"2012/2013",Southampton,74.07,,41,
England Premier League,"2013/2014",Southampton,74.7,74.07,56,41
England Premier League,"2014/2015",Southampton,76.02,74.7,60,56
England Premier League,"2015/2016",Southampton,75.91,76.02,63,60
England Premier League,"2008/2009",Stoke City,72.08,,45,
England Premier League,"2009/2010",Stoke City,74.09,72.08,47,45
England Premier League,"2010/2011",Stoke City,75.33,74.09,46,47
England Premier League,"2011/2012",Stoke City,75.56,75.33,45,46
England Premier League,"2012/2013",Stoke City,75.03,75.56,42,45
England Premier League,"2013/2014",Stoke City,75.25,75.03,50,42
England Premier League,"2014/2015",Stoke City,75.82,75.25,54,50
England Premier League,"2015/2016",Stoke City,76.32,75.82,51,54
England Premier League,"2008/2009",Sunderland,75.1,,36,
England Premier League,"2009/2010",Sunderland,75.23,75.1,44,36
England Premier League,"2010/2011",Sunderland,75.47,75.23,47,44
England Premier League,"2011/2012",Sunderland,75.45,75.47,45,47
England Premier League,"2012/2013",Sunderland,75.12,75.45,39,45
England Premier League,"2013/2014",Sunderland,74.32,75.12,38,39
England Premier League,"2014/2015",Sunderland,74.34,74.32,38,38
England Premier League,"2015/2016",Sunderland,74.94,74.34,39,38
England Premier League,"2011/2012",Swansea City,73.69,,47,
England Premier League,"2012/2013",Swansea City,74.97,73.69,46,47
England Premier League,"2013/2014",Swansea City,75.59,74.97,42,46
England Premier League,"2014/2015",Swansea City,75.55,75.59,56,42
England Premier League,"2015/2016",Swansea City,76.16,75.55,47,56
England Premier League,"2008/2009",Tottenham Hotspur,77.93,,51,
England Premier League,"2009/2010",Tottenham Hotspur,78.31,77.93,70,51
England Premier League,"2010/2011",Tottenham Hotspur,79.39,78.31,62,70
England Premier League,"2011/2012",Tottenham Hotspur,79.71,79.39,69,62
England Premier League,"2012/2013",Tottenham Hotspur,79.13,79.71,72,69
England Premier League,"2013/2014",Tottenham Hotspur,77.69,79.13,69,72
England Premier League,"2014/2015",Tottenham Hotspur,76.51,77.69,64,69
England Premier League,"2015/2016",Tottenham Hotspur,76.74,76.51,70,64
England Premier League,"2015/2016",Watford,74.01,,45,
England Premier League,"2008/2009",West Bromwich Albion,71.86,,32,
England Premier League,"2010/2011",West Bromwich Albion,73.85,71.86,47,32
England Premier League,"2011/2012",West Bromwich Albion,74.21,73.85,47,47
England Premier League,"2012/2013",West Bromwich Albion,74.67,74.21,49,47
England Premier League,"2013/2014",West Bromwich Albion,74.24,74.67,36,49
England Premier League,"2014/2015",West Bromwich Albion,74.43,74.24,44,36
England Premier League,"2015/2016",West Bromwich Albion,74.83,74.43,43,44
England Premier League,"2008/2009",West Ham United,75.81,,51,
England Premier League,"2009/2010",West Ham United,74.65,75.81,35,51
England Premier League,"2010/2011",West Ham United,75.03,74.65,33,35
England Premier League,"2012/2013",West Ham United,73.26,75.03,46,33
England Premier League,"2013/2014",West Ham United,73.91,73.26,40,46
England Premier League,"2014/2015",West Ham United,74.36,73.91,47,40
England Premier League,"2015/2016",West Ham United,76.1,74.36,62,47
England Premier League,"2008/2009",Wigan Athletic,74.45,,45,
England Premier League,"2009/2010",Wigan Athletic,74.38,74.45,36,45
England Premier League,"2010/2011",Wigan Athletic,73.94,74.38,42,36
England Premier League,"2011/2012",Wigan Athletic,73.73,73.94,43,42
England Premier League,"2012/2013",Wigan Athletic,74.42,73.73,36,43
England Premier League,"2009/2010",Wolverhampton Wanderers,72.09,,38,
England Premier League,"2010/2011",Wolverhampton Wanderers,72.98,72.09,40,38
England Premier League,"2011/2012",Wolverhampton Wanderers,73.7,72.98,25,40
France Ligue 1,"2011/2012",AC Ajaccio,67.94,,41,
France Ligue 1,"2012/2013",AC Ajaccio,69.43,67.94,42,41
France Ligue 1,"2013/2014",AC Ajaccio,69.53,69.43,23,42
France Ligue 1,"2010/2011",AC Arles-Avignon,68.77,,20,
France Ligue 1,"2008/2009",AJ Auxerre,70.65,,55,
France Ligue 1,"2009/2010",AJ Auxerre,71.21,70.65,71,55
France Ligue 1,"2010/2011",AJ Auxerre,72.25,71.21,49,71
France Ligue 1,"2011/2012",AJ Auxerre,71.64,72.25,34,49
France Ligue 1,"2008/2009",AS Monaco,70.85,,45,
France Ligue 1,"2009/2010",AS Monaco,73.28,70.85,55,45
France Ligue 1,"2010/2011",AS Monaco,72.64,73.28,44,55
France Ligue 1,"2013/2014",AS Monaco,75.29,72.64,80,44
France Ligue 1,"2014/2015",AS Monaco,74.72,75.29,71,80
France Ligue 1,"2015/2016",AS Monaco,74,74.72,65,71
France Ligue 1,"2008/2009",AS Nancy-Lorraine,70.66,,42,
France Ligue 1,"2009/2010",AS Nancy-Lorraine,70.36,70.66,48,42
France Ligue 1,"2010/2011",AS Nancy-Lorraine,70.82,70.36,48,48
France Ligue 1,"2011/2012",AS Nancy-Lorraine,70.73,70.82,45,48
France Ligue 1,"2012/2013",AS Nancy-Lorraine,69.74,70.73,38,45
France Ligue 1,"2008/2009",AS Saint-Étienne,72.57,,40,
France Ligue 1,"2009/2010",AS Saint-Étienne,72.08,72.57,40,40
France Ligue 1,"2010/2011",AS Saint-Étienne,72.4,72.08,49,40
France Ligue 1,"2011/2012",AS Saint-Étienne,72.68,72.4,57,49
France Ligue 1,"2012/2013",AS Saint-Étienne,74.69,72.68,63,57
France Ligue 1,"2013/2014",AS Saint-Étienne,74.64,74.69,69,63
France Ligue 1,"2014/2015",AS Saint-Étienne,74.56,74.64,69,69
France Ligue 1,"2015/2016",AS Saint-Étienne,73.85,74.56,58,69
France Ligue 1,"2015/2016",Angers SCO,70.1,,50,
France Ligue 1,"2011/2012",Dijon FCO,68.23,,36,
France Ligue 1,"2012/2013",ES Troyes AC,69.23,,37,
France Ligue 1,"2015/2016",ES Troyes AC,69.48,69.23,18,37
France Ligue 1,"2013/2014",En Avant de Guingamp,69.23,,42,
France Ligue 1,"2014/2015",En Avant de Guingamp,71.77,69.23,49,42
France Ligue 1,"2015/2016",En Avant de Guingamp,71.76,71.77,44,49
France Ligue 1,"2008/2009",FC Lorient,69.75,,45,
France Ligue 1,"2009/2010",FC Lorient,71.02,69.75,58,45
France Ligue 1,"2010/2011",FC Lorient,72.24,71.02,49,58
France Ligue 1,"2011/2012",FC Lorient,71.54,72.24,39,49
France Ligue 1,"2012/2013",FC Lorient,71.45,71.54,53,39
France Ligue 1,"2013/2014",FC Lorient,71.22,71.45,49,53
France Ligue 1,"2014/2015",FC Lorient,71.1,71.22,43,49
France Ligue 1,"2015/2016",FC Lorient,71.34,71.1,46,43
France Ligue 1,"2014/2015",FC Metz,69.79,,30,
France Ligue 1,"2008/2009",FC Nantes,69.9,,37,
France Ligue 1,"2013/2014",FC Nantes,71.22,69.9,49,37
France Ligue 1,"2014/2015",FC Nantes,72.04,71.22,45,49
France Ligue 1,"2015/2016",FC Nantes,71.7,72.04,48,45
France Ligue 1,"2008/2009",FC Sochaux-Montbéliard,70.83,,42,
France Ligue 1,"2009/2010",FC Sochaux-Montbéliard,69.86,70.83,41,42
France Ligue 1,"2010/2011",FC Sochaux-Montbéliard,70.59,69.86,58,41
France Ligue 1,"2011/2012",FC Sochaux-Montbéliard,70.36,70.59,42,58
France Ligue 1,"2012/2013",FC Sochaux-Montbéliard,70.53,70.36,41,42
France Ligue 1,"2013/2014",FC Sochaux-Montbéliard,69.98,70.53,40,41
France Ligue 1,"2015/2016",GFC Ajaccio,68.07,,37,
France Ligue 1,"2008/2009",Girondins de Bordeaux,76.17,,80,
France Ligue 1,"2009/2010",Girondins de Bordeaux,76.8,76.17,64,80
France Ligue 1,"2010/2011",Girondins de Bordeaux,75.27,76.8,51,64
France Ligue 1,"2011/2012",Girondins de Bordeaux,74.67,75.27,61,51
France Ligue 1,"2012/2013",Girondins de Bordeaux,73.81,74.67,55,61
France Ligue 1,"2013/2014",Girondins de Bordeaux,73.53,73.81,53,55
France Ligue 1,"2014/2015",Girondins de Bordeaux,72.79,73.53,63,53
France Ligue 1,"2015/2016",Girondins de Bordeaux,72.16,72.79,50,63
France Ligue 1,"2008/2009",Grenoble Foot 38,69.09,,44,
France Ligue 1,"2009/2010",Grenoble Foot 38,69.86,69.09,23,44
France Ligue 1,"2008/2009",LOSC Lille,73.14,,64,
France Ligue 1,"2009/2010",LOSC Lille,74,73.14,70,64
France Ligue 1,"2010/2011",LOSC Lille,76.45,74,76,70
France Ligue 1,"2011/2012",LOSC Lille,76.27,76.45,74,76
France Ligue 1,"2012/2013",LOSC Lille,75.21,76.27,62,74
France Ligue 1,"2013/2014",LOSC Lille,74.4,75.21,71,62
France Ligue 1,"2014/2015",LOSC Lille,73.85,74.4,56,71
France Ligue 1,"2015/2016",LOSC Lille,71.75,73.85,60,56
France Ligue 1,"2008/2009",Le Havre AC,68.42,,26,
France Ligue 1,"2008/2009",Le Mans FC,70.73,,40,
France Ligue 1,"2009/2010",Le Mans FC,68.74,70.73,32,40
France Ligue 1,"2009/2010",Montpellier Hérault SC,71.59,,69,
France Ligue 1,"2010/2011",Montpellier Hérault SC,72.51,71.59,47,69
France Ligue 1,"2011/2012",Montpellier Hérault SC,74.06,72.51,82,47
France Ligue 1,"2012/2013",Montpellier Hérault SC,73.08,74.06,52,82
France Ligue 1,"2013/2014",Montpellier Hérault SC,71.93,73.08,42,52
France Ligue 1,"2014/2015",Montpellier Hérault SC,72.58,71.93,56,42
France Ligue 1,"2015/2016",Montpellier Hérault SC,71.66,72.58,49,56
France Ligue 1,"2008/2009",OGC Nice,70.69,,50,
France Ligue 1,"2009/2010",OGC Nice,71.53,70.69,44,50
France Ligue 1,"2010/2011",OGC Nice,72.05,71.53,46,44
France Ligue 1,"2011/2012",OGC Nice,72.03,72.05,42,46
France Ligue 1,"2012/2013",OGC Nice,71.53,72.03,64,42
France Ligue 1,"2013/2014",OGC Nice,71.76,71.53,42,64
France Ligue 1,"2014/2015",OGC Nice,70.29,71.76,48,42
France Ligue 1,"2015/2016",OGC Nice,72.49,70.29,63,48
France Ligue 1,"2008/2009",Olympique Lyonnais,76.68,,71,
France Ligue 1,"2009/2010",Olympique Lyonnais,77.47,76.68,72,71
France Ligue 1,"2010/2011",Olympique Lyonnais,77.44,77.47,64,72
France Ligue 1,"2011/2012",Olympique Lyonnais,76.59,77.44,64,64
France Ligue 1,"2012/2013",Olympique Lyonnais,75.18,76.59,67,64
France Ligue 1,"2013/2014",Olympique Lyonnais,74.22,75.18,61,67
France Ligue 1,"2014/2015",Olympique Lyonnais,73.86,74.22,75,61
France Ligue 1,"2015/2016",Olympique Lyonnais,75.76,73.86,65,75
France Ligue 1,"2008/2009",Olympique de Marseille,75.04,,77,
France Ligue 1,"2009/2010",Olympique de Marseille,76.95,75.04,78,77
France Ligue 1,"2010/2011",Olympique de Marseille,77.1,76.95,68,78
France Ligue 1,"2011/2012",Olympique de Marseille,76.47,77.1,48,68
France Ligue 1,"2012/2013",Olympique de Marseille,75.89,76.47,71,48
France Ligue 1,"2013/2014",Olympique de Marseille,75.27,75.89,60,71
France Ligue 1,"2014/2015",Olympique de Marseille,75.23,75.27,69,60
France Ligue 1,"2015/2016",Olympique de Marseille,74.73,75.23,48,69
France Ligue 1,"2008/2009",Paris Saint-Germain,74.19,,64,
France Ligue 1,"2009/2010",Paris Saint-Germain,73.75,74.19,47,64
France Ligue 1,"2010/2011",Paris Saint-Germain,75.06,73.75,60,47
France Ligue 1,"2011/2012",Paris Saint-Germain,77.02,75.06,79,60
France Ligue 1,"2012/2013",Paris Saint-Germain,78.35,77.02,83,79
France Ligue 1,"2013/2014",Paris Saint-Germain,79.1,78.35,89,83
France Ligue 1,"2014/2015",Paris Saint-Germain,78.81,79.1,83,89
France Ligue 1,"2015/2016",Paris Saint-Germain,78.33,78.81,96,83
France Ligue 1,"2009/2010",RC Lens,69.58,,48,
France Ligue 1,"2010/2011",RC Lens,69.62,69.58,35,48
France Ligue 1,"2014/2015",RC Lens,68.85,69.62,29,35
France Ligue 1,"2012/2013",SC Bastia,70.39,,47,
France Ligue 1,"2013/2014",SC Bastia,71.7,70.39,46,47
France Ligue 1,"2014/2015",SC Bastia,71.13,71.7,47,46
France Ligue 1,"2015/2016",SC Bastia,70.44,71.13,50,47
France Ligue 1,"2008/2009",SM Caen,70.72,,37,
France Ligue 1,"2010/2011",SM Caen,69.82,70.72,46,37
France Ligue 1,"2011/2012",SM Caen,70.43,69.82,38,46
France Ligue 1,"2014/2015",SM Caen,70.08,70.43,46,38
France Ligue 1,"2015/2016",SM Caen,71.64,70.08,54,46
